"PassengerClass","Sex","No of Siblings or Spouses on Board","No of Parents or Children on Board","Port of Embarkation","Age","Passenger Fare","Survived","id","outlier_flag","Distance Outlier"
"First","Female",0,0,"Southampton",29.0,211.3375,"Yes",1,"No Outlier","false"
"First","Male",1,2,"Southampton",0.9167,151.55,"Yes",2,"No Outlier","true"
"First","Female",1,2,"Southampton",2.0,151.55,"No",3,"No Outlier","true"
"First","Male",1,2,"Southampton",30.0,151.55,"No",4,"No Outlier","false"
"First","Female",1,2,"Southampton",25.0,151.55,"No",5,"No Outlier","false"
"First","Male",0,0,"Southampton",48.0,26.55,"Yes",6,"No Outlier","false"
"First","Female",1,0,"Southampton",63.0,77.9583,"Yes",7,"No Outlier","false"
"First","Male",0,0,"Southampton",39.0,0.0,"No",8,"No Outlier","false"
"First","Female",2,0,"Southampton",53.0,51.4792,"Yes",9,"No Outlier","false"
"First","Male",0,0,"Cherbourg",71.0,49.5042,"No",10,"No Outlier","false"
"First","Male",1,0,"Cherbourg",47.0,227.525,"No",11,"No Outlier","false"
"First","Female",1,0,"Cherbourg",18.0,227.525,"Yes",12,"No Outlier","false"
"First","Female",0,0,"Cherbourg",24.0,69.3,"Yes",13,"No Outlier","false"
"First","Female",0,0,"Southampton",26.0,78.85,"Yes",14,"No Outlier","false"
"First","Male",0,0,"Southampton",80.0,30.0,"Yes",15,"No Outlier","false"
"First","Male",0,0,"Southampton",41.0,25.925,"No",16,"No Outlier","false"
"First","Male",0,1,"Cherbourg",24.0,247.5208,"No",17,"No Outlier","false"
"First","Female",0,1,"Cherbourg",50.0,247.5208,"Yes",18,"No Outlier","false"
"First","Female",0,0,"Cherbourg",32.0,76.2917,"Yes",19,"No Outlier","false"
"First","Male",0,0,"Cherbourg",36.0,75.2417,"No",20,"No Outlier","false"
"First","Male",1,1,"Southampton",37.0,52.5542,"Yes",21,"No Outlier","false"
"First","Female",1,1,"Southampton",47.0,52.5542,"Yes",22,"No Outlier","false"
"First","Male",0,0,"Cherbourg",26.0,30.0,"Yes",23,"No Outlier","false"
"First","Female",0,0,"Cherbourg",42.0,227.525,"Yes",24,"No Outlier","false"
"First","Female",0,0,"Southampton",29.0,221.7792,"Yes",25,"No Outlier","false"
"First","Male",0,0,"Cherbourg",25.0,26.0,"No",26,"No Outlier","false"
"First","Male",1,0,"Cherbourg",25.0,91.0792,"Yes",27,"No Outlier","false"
"First","Female",1,0,"Cherbourg",19.0,91.0792,"Yes",28,"No Outlier","false"
"First","Female",0,0,"Southampton",35.0,135.6333,"Yes",29,"No Outlier","false"
"First","Male",0,0,"Southampton",28.0,26.55,"Yes",30,"No Outlier","false"
"First","Male",0,0,"Southampton",45.0,35.5,"No",31,"No Outlier","false"
"First","Male",0,0,"Cherbourg",40.0,31.0,"Yes",32,"No Outlier","false"
"First","Female",0,0,"Southampton",30.0,164.8667,"Yes",33,"No Outlier","false"
"First","Female",0,0,"Southampton",58.0,26.55,"Yes",34,"No Outlier","false"
"First","Male",0,0,"Southampton",42.0,26.55,"No",35,"No Outlier","false"
"First","Female",0,0,"Cherbourg",45.0,262.375,"Yes",36,"No Outlier","false"
"First","Female",0,1,"Southampton",22.0,55.0,"Yes",37,"No Outlier","false"
"First","Male",0,0,"Southampton",41.0,26.55,"Yes",38,"No Outlier","false"
"First","Male",0,0,"Southampton",41.0,30.5,"No",39,"No Outlier","false"
"First","Male",0,0,"Cherbourg",48.0,50.4958,"No",40,"No Outlier","false"
"First","Male",0,0,"Cherbourg",41.0,39.6,"No",41,"No Outlier","false"
"First","Female",0,0,"Cherbourg",44.0,27.7208,"Yes",42,"No Outlier","false"
"First","Female",2,0,"Southampton",59.0,51.4792,"Yes",43,"No Outlier","false"
"First","Female",0,0,"Cherbourg",60.0,76.2917,"Yes",44,"No Outlier","false"
"First","Female",0,0,"Cherbourg",41.0,134.5,"Yes",45,"No Outlier","false"
"First","Male",0,0,"Southampton",45.0,26.55,"No",46,"No Outlier","false"
"First","Male",0,0,"Southampton",35.0,31.0,"No",47,"No Outlier","false"
"First","Male",0,0,"Southampton",42.0,26.2875,"Yes",48,"No Outlier","false"
"First","Female",0,0,"Cherbourg",53.0,27.4458,"Yes",49,"No Outlier","false"
"First","Male",0,1,"Cherbourg",36.0,512.3292,"Yes",50,"Outlier","true"
"First","Female",0,1,"Cherbourg",58.0,512.3292,"Yes",51,"Outlier","true"
"First","Male",0,0,"Southampton",33.0,5.0,"No",52,"No Outlier","false"
"First","Male",0,0,"Southampton",28.0,47.1,"No",53,"No Outlier","false"
"First","Male",0,0,"Southampton",17.0,47.1,"No",54,"No Outlier","false"
"First","Male",1,2,"Southampton",11.0,120.0,"Yes",55,"No Outlier","false"
"First","Female",1,2,"Southampton",14.0,120.0,"Yes",56,"No Outlier","false"
"First","Male",1,2,"Southampton",36.0,120.0,"Yes",57,"No Outlier","false"
"First","Female",1,2,"Southampton",36.0,120.0,"Yes",58,"No Outlier","false"
"First","Male",0,0,"Southampton",49.0,26.0,"No",59,"No Outlier","false"
"First","Female",0,0,"Cherbourg",40.0,27.7208,"Yes",60,"No Outlier","false"
"First","Male",1,0,"Southampton",36.0,78.85,"No",61,"No Outlier","false"
"First","Female",1,0,"Southampton",76.0,78.85,"Yes",62,"No Outlier","false"
"First","Male",1,0,"Southampton",46.0,61.175,"No",63,"No Outlier","false"
"First","Female",1,0,"Southampton",47.0,61.175,"Yes",64,"No Outlier","false"
"First","Male",1,0,"Southampton",27.0,53.1,"Yes",65,"No Outlier","false"
"First","Female",1,0,"Southampton",33.0,53.1,"Yes",66,"No Outlier","false"
"First","Female",0,0,"Cherbourg",36.0,262.375,"Yes",67,"No Outlier","false"
"First","Female",0,0,"Southampton",30.0,86.5,"Yes",68,"No Outlier","false"
"First","Male",0,0,"Cherbourg",45.0,29.7,"Yes",69,"No Outlier","false"
"First","Female",0,1,"Southampton",27.0,55.0,"Yes",70,"No Outlier","false"
"First","Male",0,0,"Southampton",41.0,0.0,"No",71,"No Outlier","false"
"First","Male",1,0,"Cherbourg",27.0,136.7792,"No",72,"No Outlier","false"
"First","Female",1,0,"Cherbourg",26.0,136.7792,"Yes",73,"No Outlier","false"
"First","Female",0,0,"Southampton",22.0,151.55,"Yes",74,"No Outlier","false"
"First","Male",0,0,"Southampton",39.0,52.0,"No",75,"No Outlier","false"
"First","Male",0,0,"Southampton",47.0,25.5875,"No",76,"No Outlier","false"
"First","Female",1,1,"Cherbourg",39.0,83.1583,"Yes",77,"No Outlier","false"
"First","Male",1,1,"Cherbourg",37.0,83.1583,"No",78,"No Outlier","false"
"First","Female",0,2,"Cherbourg",64.0,83.1583,"Yes",79,"No Outlier","false"
"First","Female",2,0,"Southampton",55.0,25.7,"Yes",80,"No Outlier","false"
"First","Male",0,0,"Southampton",40.0,26.55,"No",81,"No Outlier","false"
"First","Male",1,1,"Southampton",70.0,71.0,"No",82,"No Outlier","false"
"First","Female",0,2,"Southampton",36.0,71.0,"Yes",83,"No Outlier","false"
"First","Female",1,1,"Southampton",64.0,26.55,"Yes",84,"No Outlier","false"
"First","Male",1,0,"Cherbourg",39.0,71.2833,"No",85,"No Outlier","false"
"First","Female",1,0,"Cherbourg",38.0,71.2833,"Yes",86,"No Outlier","false"
"First","Male",0,0,"Southampton",51.0,26.55,"Yes",87,"No Outlier","false"
"First","Male",0,0,"Southampton",27.0,30.5,"Yes",88,"No Outlier","false"
"First","Female",0,0,"Southampton",33.0,151.55,"Yes",89,"No Outlier","false"
"First","Male",1,0,"Southampton",31.0,52.0,"No",90,"No Outlier","false"
"First","Female",1,2,"Southampton",27.0,52.0,"Yes",91,"No Outlier","false"
"First","Male",1,0,"Southampton",31.0,57.0,"Yes",92,"No Outlier","false"
"First","Female",1,0,"Southampton",17.0,57.0,"Yes",93,"No Outlier","false"
"First","Male",1,1,"Southampton",53.0,81.8583,"Yes",94,"No Outlier","false"
"First","Male",0,2,"Southampton",4.0,81.8583,"Yes",95,"No Outlier","false"
"First","Female",1,1,"Southampton",54.0,81.8583,"Yes",96,"No Outlier","false"
"First","Male",1,0,"Cherbourg",50.0,106.425,"No",97,"No Outlier","false"
"First","Female",1,1,"Cherbourg",27.0,247.5208,"Yes",98,"No Outlier","false"
"First","Female",1,0,"Cherbourg",48.0,106.425,"Yes",99,"No Outlier","false"
"First","Female",1,0,"Cherbourg",48.0,39.6,"Yes",100,"No Outlier","false"
"First","Male",1,0,"Cherbourg",49.0,56.9292,"Yes",101,"No Outlier","false"
"First","Male",0,0,"Cherbourg",39.0,29.7,"No",102,"No Outlier","false"
"First","Female",0,1,"Cherbourg",23.0,83.1583,"Yes",103,"No Outlier","false"
"First","Female",0,0,"Cherbourg",38.0,227.525,"Yes",104,"No Outlier","false"
"First","Female",1,0,"Cherbourg",54.0,78.2667,"Yes",105,"No Outlier","false"
"First","Female",0,0,"Cherbourg",36.0,31.6792,"No",106,"No Outlier","false"
"First","Male",0,0,"Southampton",43.0,221.7792,"No",107,"No Outlier","false"
"First","Female",0,0,"Southampton",39.0,31.6833,"Yes",108,"No Outlier","false"
"First","Female",0,0,"Cherbourg",40.0,110.8833,"Yes",109,"No Outlier","false"
"First","Male",0,0,"Southampton",36.0,26.3875,"Yes",110,"No Outlier","false"
"First","Male",0,0,"Cherbourg",30.0,27.75,"No",111,"No Outlier","false"
