PassengerClass,Sex,Survived,Age Group,Relative,Fare,No of Siblings or Spouses on Board,No of Parents or Children on Board,Port of Embarkation,Age,Passenger Fare
First,Female,Yes,Youth,None,Affordable,0,0,Southampton,29,211.3375
First,Male,Yes,Baby,Few,Cheap,1,2,Southampton,0.9167,151.55
First,Female,No,Child,Few,Cheap,1,2,Southampton,2,151.55
First,Male,No,Adult,Few,Cheap,1,2,Southampton,30,151.55
First,Female,No,Youth,Few,Cheap,1,2,Southampton,25,151.55
First,Male,Yes,Adult,None,Cheap,0,0,Southampton,48,26.55
First,Female,Yes,Adult,Few,Cheap,1,0,Southampton,63,77.9583
First,Male,No,Adult,None,Cheap,0,0,Southampton,39,0
First,Female,Yes,Adult,Few,Cheap,2,0,Southampton,53,51.4792
First,Male,No,Senior,None,Cheap,0,0,Cherbourg,71,49.5042
First,Male,No,Adult,Few,Affordable,1,0,Cherbourg,47,227.525
First,Female,Yes,Teen,Few,Affordable,1,0,Cherbourg,18,227.525
First,Female,Yes,Youth,None,Cheap,0,0,Cherbourg,24,69.3
First,Female,Yes,Youth,None,Cheap,0,0,Southampton,26,78.85
First,Male,Yes,Senior,None,Cheap,0,0,Southampton,80,30
First,Male,No,Adult,None,Cheap,0,0,Southampton,41,25.925
First,Male,No,Youth,Few,Affordable,0,1,Cherbourg,24,247.5208
First,Female,Yes,Adult,Few,Affordable,0,1,Cherbourg,50,247.5208
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,32,76.2917
First,Male,No,Adult,None,Cheap,0,0,Cherbourg,36,75.2417
First,Male,Yes,Adult,Few,Cheap,1,1,Southampton,37,52.5542
First,Female,Yes,Adult,Few,Cheap,1,1,Southampton,47,52.5542
First,Male,Yes,Youth,None,Cheap,0,0,Cherbourg,26,30
First,Female,Yes,Adult,None,Affordable,0,0,Cherbourg,42,227.525
First,Female,Yes,Youth,None,Affordable,0,0,Southampton,29,221.7792
First,Male,No,Youth,None,Cheap,0,0,Cherbourg,25,26
First,Male,Yes,Youth,Few,Cheap,1,0,Cherbourg,25,91.0792
First,Female,Yes,Youth,Few,Cheap,1,0,Cherbourg,19,91.0792
First,Female,Yes,Adult,None,Cheap,0,0,Southampton,35,135.6333
First,Male,Yes,Youth,None,Cheap,0,0,Southampton,28,26.55
First,Male,No,Adult,None,Cheap,0,0,Southampton,45,35.5
First,Male,Yes,Adult,None,Cheap,0,0,Cherbourg,40,31
First,Female,Yes,Adult,None,Cheap,0,0,Southampton,30,164.8667
First,Female,Yes,Adult,None,Cheap,0,0,Southampton,58,26.55
First,Male,No,Adult,None,Cheap,0,0,Southampton,42,26.55
First,Female,Yes,Adult,None,Affordable,0,0,Cherbourg,45,262.375
First,Female,Yes,Youth,Few,Cheap,0,1,Southampton,22,55
First,Male,Yes,Adult,None,Cheap,0,0,Southampton,41,26.55
First,Male,No,Adult,None,Cheap,0,0,Southampton,41,30.5
First,Male,No,Adult,None,Cheap,0,0,Cherbourg,48,50.4958
First,Male,No,Adult,None,Cheap,0,0,Cherbourg,41,39.6
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,44,27.7208
First,Female,Yes,Adult,Few,Cheap,2,0,Southampton,59,51.4792
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,60,76.2917
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,41,134.5
First,Male,No,Adult,None,Cheap,0,0,Southampton,45,26.55
First,Male,No,Adult,None,Cheap,0,0,Southampton,35,31
First,Male,Yes,Adult,None,Cheap,0,0,Southampton,42,26.2875
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,53,27.4458
First,Male,Yes,Adult,Few,Expensive,0,1,Cherbourg,36,512.3292
First,Female,Yes,Adult,Few,Expensive,0,1,Cherbourg,58,512.3292
First,Male,No,Adult,None,Cheap,0,0,Southampton,33,5
First,Male,No,Youth,None,Cheap,0,0,Southampton,28,47.1
First,Male,No,Teen,None,Cheap,0,0,Southampton,17,47.1
First,Male,Yes,Child,Few,Cheap,1,2,Southampton,11,120
First,Female,Yes,Teen,Few,Cheap,1,2,Southampton,14,120
First,Male,Yes,Adult,Few,Cheap,1,2,Southampton,36,120
First,Female,Yes,Adult,Few,Cheap,1,2,Southampton,36,120
First,Male,No,Adult,None,Cheap,0,0,Southampton,49,26
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,40,27.7208
First,Male,No,Adult,Few,Cheap,1,0,Southampton,36,78.85
First,Female,Yes,Senior,Few,Cheap,1,0,Southampton,76,78.85
First,Male,No,Adult,Few,Cheap,1,0,Southampton,46,61.175
First,Female,Yes,Adult,Few,Cheap,1,0,Southampton,47,61.175
First,Male,Yes,Youth,Few,Cheap,1,0,Southampton,27,53.1
First,Female,Yes,Adult,Few,Cheap,1,0,Southampton,33,53.1
First,Female,Yes,Adult,None,Affordable,0,0,Cherbourg,36,262.375
First,Female,Yes,Adult,None,Cheap,0,0,Southampton,30,86.5
First,Male,Yes,Adult,None,Cheap,0,0,Cherbourg,45,29.7
First,Female,Yes,Youth,Few,Cheap,0,1,Southampton,27,55
First,Male,No,Adult,None,Cheap,0,0,Southampton,41,0
First,Male,No,Youth,Few,Cheap,1,0,Cherbourg,27,136.7792
First,Female,Yes,Youth,Few,Cheap,1,0,Cherbourg,26,136.7792
First,Female,Yes,Youth,None,Cheap,0,0,Southampton,22,151.55
First,Male,No,Adult,None,Cheap,0,0,Southampton,39,52
First,Male,No,Adult,None,Cheap,0,0,Southampton,47,25.5875
First,Female,Yes,Adult,Few,Cheap,1,1,Cherbourg,39,83.1583
First,Male,No,Adult,Few,Cheap,1,1,Cherbourg,37,83.1583
First,Female,Yes,Adult,Few,Cheap,0,2,Cherbourg,64,83.1583
First,Female,Yes,Adult,Few,Cheap,2,0,Southampton,55,25.7
First,Male,No,Adult,None,Cheap,0,0,Southampton,40,26.55
First,Male,No,Senior,Few,Cheap,1,1,Southampton,70,71
First,Female,Yes,Adult,Few,Cheap,0,2,Southampton,36,71
First,Female,Yes,Adult,Few,Cheap,1,1,Southampton,64,26.55
First,Male,No,Adult,Few,Cheap,1,0,Cherbourg,39,71.2833
First,Female,Yes,Adult,Few,Cheap,1,0,Cherbourg,38,71.2833
First,Male,Yes,Adult,None,Cheap,0,0,Southampton,51,26.55
First,Male,Yes,Youth,None,Cheap,0,0,Southampton,27,30.5
First,Female,Yes,Adult,None,Cheap,0,0,Southampton,33,151.55
First,Male,No,Adult,Few,Cheap,1,0,Southampton,31,52
First,Female,Yes,Youth,Few,Cheap,1,2,Southampton,27,52
First,Male,Yes,Adult,Few,Cheap,1,0,Southampton,31,57
First,Female,Yes,Teen,Few,Cheap,1,0,Southampton,17,57
First,Male,Yes,Adult,Few,Cheap,1,1,Southampton,53,81.8583
First,Male,Yes,Child,Few,Cheap,0,2,Southampton,4,81.8583
First,Female,Yes,Adult,Few,Cheap,1,1,Southampton,54,81.8583
First,Male,No,Adult,Few,Cheap,1,0,Cherbourg,50,106.425
First,Female,Yes,Youth,Few,Affordable,1,1,Cherbourg,27,247.5208
First,Female,Yes,Adult,Few,Cheap,1,0,Cherbourg,48,106.425
First,Female,Yes,Adult,Few,Cheap,1,0,Cherbourg,48,39.6
First,Male,Yes,Adult,Few,Cheap,1,0,Cherbourg,49,56.9292
First,Male,No,Adult,None,Cheap,0,0,Cherbourg,39,29.7
First,Female,Yes,Youth,Few,Cheap,0,1,Cherbourg,23,83.1583
First,Female,Yes,Adult,None,Affordable,0,0,Cherbourg,38,227.525
First,Female,Yes,Adult,Few,Cheap,1,0,Cherbourg,54,78.2667
First,Female,No,Adult,None,Cheap,0,0,Cherbourg,36,31.6792
First,Male,No,Adult,None,Affordable,0,0,Southampton,43,221.7792
First,Female,Yes,Adult,None,Cheap,0,0,Southampton,39,31.6833
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,40,110.8833
First,Male,Yes,Adult,None,Cheap,0,0,Southampton,36,26.3875
