X,Y,Year,Occurrence,Occurren_Day,Location_T,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Model,Bicycle_Type,Bicycle_Frame,Bicycle_Color,Ottawa_Neighboirhood,Month,string in numeric
-8428937.251,5667079.248,2022,2022/09/25 00:00:00+00,Sunday,"SINGLE HOME, HOUSE",STOLEN,800,RALEIGH,OVERTAKE,OTHER,UNISEX,WHITE,Rideau Crest - Davidson Heights,September,Found
-8428326.947,5686825.648,2022,2022/09/23 00:00:00+00,Friday,"SINGLE HOME, HOUSE",STOLEN,800,BATCH,LIFESTYLE,HYBRID,MEN'S,BLACK,Carson Grove - Carson Meadows,September,Found
-8418365.849,5690196.206,2022,2022/09/23 00:00:00+00,Friday,"SINGLE HOME, HOUSE",STOLEN,1500,UNKNOWN,N/A,OTHER,UNISEX,BROWN,Carson Grove - Carson Meadows,September,Found
-8418365.849,5690196.206,2022,2022/09/23 00:00:00+00,Friday,PARKING LOTS,STOLEN,1500,UNKNOWN,N/A,HYBRID,UNISEX,BROWN,Lebreton Development,September,Found
-8425134.587,5688289.587,2022,2022/09/15 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",STOLEN,350,MONGOOSE,N/A,OTHER,UNISEX,SILK,Centretown,September,Found
-8427036.027,5688070.143,2022,2022/09/22 00:00:00+00,Thursday,PARKING LOTS,STOLEN,1000,TREK,LEXA,OTHER,WOMEN'S,WHITE,Sandy Hill,September,Found
-8429178.386,5686268.354,2022,2022/09/21 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,1000,OPUS,ANDANTE,RACER,WOMEN'S,BLACK,Sandy Hill,September,Found
-8429178.386,5686268.354,2022,2022/09/21 00:00:00+00,Wednesday,UNIVERSITIES / COLLEGES,STOLEN,1000,OPUS,ANDANTE,MOUNTAIN,WOMEN'S,BLACK,Sandy Hill,September,Found
-8425285.641,5688552.221,2022,2022/09/21 00:00:00+00,Wednesday,OTHER PUBLIC TRANSPORTATION AND CONNECTED FACILITIES,STOLEN,1500,SCOTT,SCALE 980,RACER,MEN'S,GRAY,West Centretown,September,Found
-8424934.186,5688410.528,2022,2022/09/22 00:00:00+00,Thursday,OTHER PUBLIC TRANSPORTATION AND CONNECTED FACILITIES,STOLEN,1000,FELT,VERZASPEED SUPE,RACER,MEN'S,GRAY,West Centretown,September,Found
-8426101.274,5687521.321,2022,2022/09/19 00:00:00+00,Monday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,800,ELECTRA,TOWNIE,OTHER,MEN'S,BLUE,Centretown,September,Found
-8426101.274,5687521.321,2022,2022/09/19 00:00:00+00,Monday,SCHOOLS DURING SUPERVISED ACTIVITY,STOLEN,800,ELECTRA,TOWNIE,HYBRID,MEN'S,BLUE,Centretown,September,Found
-8426406.814,5689689.559,2022,2022/09/21 00:00:00+00,Wednesday,UNIVERSITIES / COLLEGES,STOLEN,1250,SURLY,DISC TRUCKER,REGULAR,UNISEX,DARK GREEN,Centretown,September,Found
-8426406.814,5689689.559,2022,2022/09/21 00:00:00+00,Wednesday,UNIVERSITIES / COLLEGES,STOLEN,1250,SURLY,DISC TRUCKER,MOUNTAIN,UNISEX,DARK GREEN,Centretown,September,Found
-8427423.643,5687276.236,2022,2022/09/17 00:00:00+00,Saturday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,800,TREK,N/A,REGULAR,UNISEX,GRAY,Centretown,September,Found
-8427423.643,5687276.236,2022,2022/09/17 00:00:00+00,Saturday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,800,TREK,N/A,OTHER,UNISEX,GRAY,Centretown,September,Found
-8426651.88,5686360.984,2022,2021/09/01 00:00:00+00,Wednesday,OPEN AREAS,STOLEN,500,REILLY,N/A,TOURING,WOMEN'S,LIGHT BLUE,Centretown,September,Found
-8426651.88,5686360.984,2022,2021/09/01 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,500,REILLY,N/A,HYBRID,WOMEN'S,LIGHT BLUE,Glebe - Dows Lake,September,Found
-8424437.604,5688031.03,2022,2022/09/21 00:00:00+00,Wednesday,OPEN AREAS,STOLEN,600,MARIN,BOLINAS RIDGE 1,TOURING,MEN'S,LIGHT GREEN,Sandy Hill,September,Found
