Bicycle_Type,Bicycle_Frame,Bicycle_Color,Bicycle_Make,Bicycle_Value,cluster
OTHER,UNISEX,WHITE,RALEIGH,800,cluster_32
HYBRID,MEN'S,BLACK,BATCH,800,cluster_31
OTHER,UNISEX,BROWN,UNKNOWN,1500,cluster_32
HYBRID,UNISEX,BROWN,UNKNOWN,1500,cluster_25
OTHER,UNISEX,SILK,MONGOOSE,350,cluster_32
OTHER,WOMEN'S,WHITE,TREK,1000,cluster_15
RACER,WOMEN'S,BLACK,OPUS,1000,cluster_34
MOUNTAIN,WOMEN'S,BLACK,OPUS,1000,cluster_11
RACER,MEN'S,GRAY,SCOTT,1500,cluster_16
RACER,MEN'S,GRAY,FELT,1000,cluster_16
OTHER,MEN'S,BLUE,ELECTRA,800,cluster_22
HYBRID,MEN'S,BLUE,ELECTRA,800,cluster_35
REGULAR,UNISEX,GREEN,SURLY,1250,cluster_6
MOUNTAIN,UNISEX,GREEN,SURLY,1250,cluster_23
REGULAR,UNISEX,GRAY,TREK,800,cluster_6
OTHER,UNISEX,GRAY,TREK,800,cluster_32
TOURING,WOMEN'S,BLUE,REILLY,500,cluster_18
HYBRID,WOMEN'S,BLUE,REILLY,500,cluster_21
TOURING,MEN'S,GREEN,MARIN,600,cluster_22
REGULAR,MEN'S,RED,KONA,3000,cluster_36
HYBRID,UNISEX,WHITE,SPECIALIZED,300,cluster_25
MOUNTAIN,UNISEX,BLUE,TREK,1500,cluster_2
TOURING,UNISEX,RED,NORCO,1000,cluster_32
MOUNTAIN,UNISEX,RED,RALE,750,cluster_2
RACER,UNISEX,YELLOW,CANNONDALE,1000,cluster_27
HYBRID,MEN'S,BLUE,SUPERCYCLE,200,cluster_35
HYBRID,MEN'S,GRAY,GIANT,1000,cluster_12
OTHER,MEN'S,GRAY,TREK,800,cluster_12
HYBRID,MEN'S,GRAY,NORTHROCK,550,cluster_12
HYBRID,MEN'S,GRAY,SUPERCYCLE,100,cluster_12
MOUNTAIN,MEN'S,GREEN,UNKNOWN,800,cluster_8
MOUNTAIN,WOMEN'S,BLUE,NORKO,800,cluster_11
HYBRID,MEN'S,RED,MOUNTAIN EQUIPM,900,cluster_30
HYBRID,UNISEX,RED,DECATHLON,500,cluster_25
HYBRID,WOMEN'S,WHITE,RAD POWER BIKE,2100,cluster_36
RACER,MEN'S,GRAY,UNKNOWN,800,cluster_16
HYBRID,MEN'S,BLACK,SURLY,2000,cluster_39
HYBRID,UNISEX,BLACK,TREK,500,cluster_25
HYBRID,UNISEX,BLUE,KONA,800,cluster_25
MOUNTAIN,UNISEX,BLUE,KONA,800,cluster_2
MOUNTAIN,WOMEN'S,SILK,NORC,5000,cluster_33
HYBRID,MEN'S,BLUE,ROCM,1500,cluster_35
MOUNTAIN,MEN'S,BLUE,ROCM,1500,cluster_14
MOUNTAIN,MEN'S,RED,TREK,1399,cluster_14
REGULAR,MEN'S,RED,TREK,1399,cluster_39
MOUNTAIN,MEN'S,RED,TREK,1399,cluster_14
HYBRID,MEN'S,SILK,GIAN,1150,cluster_30
MOUNTAIN,MEN'S,SILK,GIAN,1150,cluster_8
MOUNTAIN,UNISEX,BLACK,KONA,800,cluster_13
MOUNTAIN,MEN'S,BLACK,UNKNOWN,300,cluster_37
REGULAR,UNISEX,BLACK,KONA,800,cluster_6
HYBRID,MEN'S,BLACK,FYXNATION,250,cluster_31
OTHER,MEN'S,GRAY,GARY FISHER,100,cluster_12
MOUNTAIN,MEN'S,GRAY,GARY FISHER,100,cluster_12
MOUNTAIN,MEN'S,GREEN,DIADORA,420,cluster_8
MOUNTAIN,MEN'S,GREEN,DIADORA,420,cluster_8
HYBRID,WOMEN'S,GREEN,GIANT SUECLE,500,cluster_21
HYBRID,WOMEN'S,GREEN,GIANT SUECLE,500,cluster_21
HYBRID,MEN'S,BLUE,TREK,600,cluster_35
HYBRID,MEN'S,BLUE,TREK,600,cluster_35
HYBRID,MEN'S,GRAY,B'TWINN,550,cluster_12
HYBRID,WOMEN'S,GRAY,DEVINCI,600,cluster_21
HYBRID,WOMEN'S,GRAY,DEVINCI,600,cluster_21
OTHER,MEN'S,RED,UNKNOWN,300,cluster_5
HYBRID,WOMEN'S,WHITE,DEVINCI,1200,cluster_21
MOUNTAIN,MEN'S,GREEN,ROCM,500,cluster_8
HYBRID,MEN'S,GRAY,OPUS,1000,cluster_12
MOUNTAIN,UNISEX,BLACK,UNKNOWN,800,cluster_13
MOUNTAIN,MEN'S,ORANGE,GIANT,4500,cluster_9
HYBRID,UNISEX,YELLOW,KHS,800,cluster_25
MOUNTAIN,MEN'S,BEIGE,CANNONDALE,3900,cluster_9
MOUNTAIN,UNISEX,BLACK,NORCO,700,cluster_13
OTHER,UNISEX,BLACK,NORCO,700,cluster_32
OTHER,UNISEX,BLACK,CANNONDALE,3500,cluster_9
MOUNTAIN,MEN'S,BLACK,UNKNOWN,700,cluster_37
MOUNTAIN,MEN'S,BROWN,GLOBAL,600,cluster_8
HYBRID,MEN'S,GREEN,CANNONDALE,1100,cluster_30
REGULAR,MEN'S,GREEN,KONA,1750,cluster_39
MOUNTAIN,MEN'S,GREEN,KONA,1750,cluster_14
OTHER,WOMEN'S,BLACK,NORCO,900,cluster_15
MOUNTAIN,CHILD'S,PINK,DYNACRAFT,190,cluster_20
OTHER,CHILD'S,PINK,DYNACRAFT,190,cluster_15
OTHER,UNISEX,RED,TREK,1000,cluster_32
TOURING,UNISEX,RED,TREK,1000,cluster_32
HYBRID,MEN'S,SILK,MOUNTAIN EQUIPM,1200,cluster_30
HYBRID,MEN'S,WHITE,SCHW,300,cluster_3
OTHER,MEN'S,WHITE,SCHW,300,cluster_5
HYBRID,MEN'S,WHITE,SCHW,300,cluster_3
HYBRID,WOMEN'S,WHITE,LINUS,900,cluster_21
MOUNTAIN,MEN'S,BLACK,CANNONDALE,950,cluster_37
MOUNTAIN,MEN'S,BLACK,GARNEAU. 2020,600,cluster_37
HYBRID,WOMEN'S,PURPLE,TREK,1500,cluster_21
HYBRID,UNISEX,SILK,RIVERSIDE,390.92,cluster_25
REGULAR,MEN'S,WHITE,OPUS,480,cluster_29
MOUNTAIN,MEN'S,BLACK,GIANT,550,cluster_37
HYBRID,MEN'S,BLACK,BMW,1500,cluster_17
MOUNTAIN,MEN'S,BLACK,RALEIGH,800,cluster_37
TOURING,MEN'S,BLACK,NEVADA,75,cluster_5
MOUNTAIN,MEN'S,BLACK,TREK,900,cluster_37
OTHER,WOMEN'S,GRAY,NORCO STORM,1000,cluster_15
MOUNTAIN,MEN'S,GREEN,KONA,806,cluster_8
MOUNTAIN,UNISEX,BLACK,UNKNOWN,800,cluster_13
HYBRID,WOMEN'S,RED,KONA,600,cluster_21
REGULAR,WOMEN'S,RED,KONA,600,cluster_38
OTHER,MEN'S,RED,RALEIGH MOUNTAI,1000,cluster_5
OTHER,MEN'S,SILK,GIANT,1000,cluster_5
MOUNTAIN,WOMEN'S,WHITE,SPECIALIZED,1400,cluster_28
HYBRID,MEN'S,GRAY,NORCO,250,cluster_12
HYBRID,WOMEN'S,YELLOW,QUINTANA ROO,1500,cluster_21
OTHER,WOMEN'S,YELLOW,QUINTANA ROO,1500,cluster_15
RACER,UNISEX,BLACK,BROOKLYN BIKE C,836.18,cluster_27
RACER,MEN'S,BLACK,GIANT,1216.33,cluster_16
HYBRID,MEN'S,GRAY,TREK,892,cluster_12
HYBRID,WOMEN'S,BLUE,NAKAMURA,200,cluster_21
REGULAR,MEN'S,RED,GT,500,cluster_29
MOUNTAIN,MEN'S,BLACK,GIANT,800,cluster_37
REGULAR,WOMEN'S,BLACK,GIANT,300,cluster_38
MOUNTAIN,MEN'S,BLACK,TREK,1000,cluster_37
HYBRID,MEN'S,BLACK,SUPE,300,cluster_31
HYBRID,MEN'S,GRAY,TREK,7400,cluster_4
MOUNTAIN,MEN'S,BLUE,GIANT,400,cluster_7
HYBRID,MEN'S,GRAY,GIANT,1000,cluster_12
HYBRID,WOMEN'S,BLUE,NORC,900,cluster_21
REGULAR,WOMEN'S,PINK,CARR,200,cluster_38
MOUNTAIN,WOMEN'S,PURPLE,KHS 2018,850,cluster_11
MOUNTAIN,CHILD'S,RED,UNK,25,cluster_20
REGULAR,UNISEX,YELLOW,GIANT,500,cluster_6
OTHER,UNISEX,BLACK,URBAN CRUISER,2300,cluster_10
BMX,WOMEN'S,BROWN,GIANT,250,cluster_26
MOUNTAIN,MEN'S,GRAY,LIV,800,cluster_12
OTHER,UNISEX,RED,SPEC,1500,cluster_32
