Proline  ,,class limit,,,,
1065,1680,277-556,556,,Bin,Frequency
1050,278,557-834,834,,556,59
1185,,834-1111,1111,,834,59
1480,,1112-1389,1389,,1111,33
735,,1390-1680,1680,,1389,21
1450,,,,,1680,6
1290,,,,,More,0
1295,,,,,,
1045,,,,,,
1045,,,,,,
1510,,,,,,
1280,,,,,,
1320,,,,,,
1150,,,,,,
1547,,,,,,
1310,,,,,,
1280,,,,,,
1130,,,,,,
1680,,,,,,
845,,,,,,
780,,,,,,
770,,,,,,
1035,,,,,,
1015,,,,,,
845,,,,,,
830,,,,,,
1195,,,,,,
1285,,,,,,
915,,,,,,
1035,,,,,,
1285,,,,,,
1515,,,,,,
990,,,,,,
1235,,,,,,
1095,,,,,,
920,,,,,,
880,,,,,,
1105,,,,,,
1020,,,,,,
760,,,,,,
795,,,,,,
1035,,,,,,
1095,,,,,,
680,,,,,,
885,,,,,,
1080,,,,,,
1065,,,,,,
985,,,,,,
1060,,,,,,
1260,,,,,,
1150,,,,,,
1265,,,,,,
1190,,,,,,
1375,,,,,,
1060,,,,,,
1120,,,,,,
970,,,,,,
1270,,,,,,
1285,,,,,,
520,,,,,,
680,,,,,,
450,,,,,,
630,,,,,,
420,,,,,,
355,,,,,,
678,,,,,,
502,,,,,,
510,,,,,,
750,,,,,,
718,,,,,,
870,,,,,,
410,,,,,,
472,,,,,,
985,,,,,,
886,,,,,,
428,,,,,,
392,,,,,,
500,,,,,,
750,,,,,,
463,,,,,,
278,,,,,,
714,,,,,,
630,,,,,,
515,,,,,,
520,,,,,,
450,,,,,,
495,,,,,,
562,,,,,,
680,,,,,,
625,,,,,,
480,,,,,,
450,,,,,,
495,,,,,,
290,,,,,,
345,,,,,,
937,,,,,,
625,,,,,,
428,,,,,,
660,,,,,,
406,,,,,,
710,,,,,,
562,,,,,,
438,,,,,,
415,,,,,,
672,,,,,,
315,,,,,,
510,,,,,,
488,,,,,,
312,,,,,,
680,,,,,,
562,,,,,,
325,,,,,,
607,,,,,,
434,,,,,,
385,,,,,,
407,,,,,,
495,,,,,,
345,,,,,,
372,,,,,,
564,,,,,,
625,,,,,,
465,,,,,,
365,,,,,,
380,,,,,,
380,,,,,,
378,,,,,,
352,,,,,,
466,,,,,,
342,,,,,,
580,,,,,,
630,,,,,,
530,,,,,,
560,,,,,,
600,,,,,,
650,,,,,,
695,,,,,,
720,,,,,,
515,,,,,,
580,,,,,,
590,,,,,,
600,,,,,,
780,,,,,,
520,,,,,,
550,,,,,,
855,,,,,,
830,,,,,,
415,,,,,,
625,,,,,,
650,,,,,,
550,,,,,,
500,,,,,,
480,,,,,,
425,,,,,,
675,,,,,,
640,,,,,,
725,,,,,,
480,,,,,,
880,,,,,,
660,,,,,,
620,,,,,,
520,,,,,,
680,,,,,,
570,,,,,,
675,,,,,,
615,,,,,,
520,,,,,,
695,,,,,,
685,,,,,,
750,,,,,,
630,,,,,,
510,,,,,,
470,,,,,,
660,,,,,,
740,,,,,,
750,,,,,,
835,,,,,,
840,,,,,,
560,,,,,,
